전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y
월세,서노송동,현무1길 41,603.0,3.0,17.994999999999994,202012.0,10.5,2000.0,22.5,6.0,2020.0,전북 전주시 서노송동 현무1길 41,127.146934247,35.82242933
월세,서신동,전룡6길 11,898.0,5.0,64.01,202009.0,30.0,3000.0,40.0,2.0,2013.0,전북 전주시 서신동 전룡6길 11,127.121481872,35.826293667
월세,효자동2가,우전로 260,1227.0,3.0,46.18666666666667,202024.0,15.333333333333336,916.6666666666665,57.5,10.333333333333334,2013.0,전북 전주시 효자동2가 우전로 260,127.102274729,35.81776738
월세,효자동2가,홍산북로 17-10,1230.0,1.0,40.06,202102.0,3.0,2000.0,25.0,2.0,2013.0,전북 전주시 효자동2가 홍산북로 17-10,127.103963411,35.818355805
월세,효자동3가,서원로 141,1544.0,4.0,59.96,202055.0,23.5,1000.0,62.5,10.5,2013.0,전북 전주시 효자동3가 서원로 141,127.110056306,35.813915179
월세,효자동3가,우전로 332,1627.0,9.0,39.55,202012.0,21.0,3000.0,31.0,4.0,2018.0,전북 전주시 효자동3가 우전로 332,127.102156872,35.824167094
월세,효자동3가,홍산로 270,1525.0,3.0,29.781739130434772,202044.04347826086,15.347826086956523,1782.608695652174,45.47826086956522,9.0,2019.0,전북 전주시 효자동3가 홍산로 270,127.106456621,35.817804214
월세,효자동3가,홍산로 276,1525.0,2.0,37.302,202008.6,13.0,2000.0,55.0,10.2,2017.0,전북 전주시 효자동3가 홍산로 276,127.10646523,35.818293329
월세,효자동3가,효자로 161,1693.0,5.0,54.40999999999998,202007.125,19.25,1937.5,47.875,12.25,2013.0,전북 전주시 효자동3가 효자로 161,127.102574464,35.819430599
월세,효자동3가,효자로 194,1525.0,1.0,45.34428571428571,202021.1428571429,12.285714285714285,2142.8571428571427,47.14285714285714,8.571428571428571,2013.0,전북 전주시 효자동3가 효자로 194,127.106469468,35.81861781
전세,고사동,전주객사5길 47,203.0,6.0,48.06,202008.0,7.0,2500.0,0.0,6.0,1993.0,전북 전주시 고사동 전주객사5길 47,127.144862126,35.820194567
전세,서신동,새터로 119,966.0,5.0,59.16,202101.0,30.0,9000.0,0.0,5.0,2013.0,전북 전주시 서신동 새터로 119,127.119824449,35.835683794
전세,서신동,전룡6길 11,898.0,5.0,64.01,202103.0,6.0,8500.0,0.0,2.0,2013.0,전북 전주시 서신동 전룡6길 11,127.121481872,35.826293667
전세,서신동,전룡6길 13,898.0,3.0,64.01,202009.0,29.0,10000.0,0.0,2.0,2013.0,전북 전주시 서신동 전룡6길 13,127.121460544,35.826479393
전세,효자동2가,우전로 260,1227.0,3.0,43.18833333333333,202026.91666666663,16.583333333333332,12083.333333333336,0.0,9.333333333333334,2013.0,전북 전주시 효자동2가 우전로 260,127.102274729,35.81776738
전세,효자동2가,홍산북로 17-10,1230.0,1.0,56.41,202009.0,5.0,6000.0,0.0,3.0,2013.0,전북 전주시 효자동2가 홍산북로 17-10,127.103963411,35.818355805
전세,효자동3가,서원로 141,1544.0,4.0,59.96,202008.0,10.0,13437.5,0.0,12.375,2013.0,전북 전주시 효자동3가 서원로 141,127.110056306,35.813915179
전세,효자동3가,우전로 332,1627.0,9.0,72.09,202103.0,20.5,12500.0,0.0,5.0,2018.0,전북 전주시 효자동3가 우전로 332,127.102156872,35.824167094
전세,효자동3가,홍산2길 10,1544.0,2.0,77.025,202005.5,19.0,13750.0,0.0,7.0,2015.0,전북 전주시 효자동3가 홍산2길 10,127.110109321,35.814432445
전세,효자동3가,홍산로 270,1525.0,3.0,29.78038461538461,202029.38461538465,12.269230769230768,10363.46153846154,0.0,8.307692307692307,2019.0,전북 전주시 효자동3가 홍산로 270,127.106456621,35.817804214
전세,효자동3가,효자로 161,1693.0,5.0,54.41,202070.0,10.333333333333334,10666.666666666666,0.0,13.0,2013.0,전북 전주시 효자동3가 효자로 161,127.102574464,35.819430599
전세,효자동3가,효자로 194,1525.0,1.0,44.085,202032.75,14.25,11791.666666666664,0.0,8.333333333333334,2013.0,전북 전주시 효자동3가 효자로 194,127.106469468,35.81861781
